View,ClubType,Distance,Carry,LrDistanceOut,DirectionAngle,SpinBack,SpinSide,SpinAxis,BallSpeed,GolferId,0-LOWER-ANGLE,0-SHOULDER-ANGLE,0-SPINE-ANGLE,0-STANCE-RATIO,0-UPPER-TILT,1-HEAD-LOC,1-HIP-LINE,1-HIP-ROTATION,1-HIP-SHIFTED,1-LEFT-ARM-ANGLE,1-RIGHT-ARM-ANGLE,1-SHOULDER-ANGLE,1-SHOULDER-LOC,1-SPINE-ANGLE,2-HEAD-LOC,2-HIP-ANGLE,2-HIP-LINE,2-HIP-ROTATION,2-HIP-SHIFTED,2-LEFT-ARM-ANGLE,2-SHOULDER-ANGLE,2-SHOULDER-LOC,2-UPPER-TILT,3-HEAD-LOC,3-HIP-ANGLE,3-HIP-LINE,3-HIP-ROTATION,3-HIP-SHIFTED,3-LEFT-LEG-ANGLE,3-RIGHT-ARM-ANGLE,3-RIGHT-DISTANCE,3-RIGHT-LEG-ANGLE,3-SHOULDER-ANGLE,3-SHOULDER-LOC,4-HEAD-LOC,4-HIP-ANGLE,4-HIP-HANGING-BACK,4-HIP-LINE,4-HIP-ROTATION,4-HIP-SHIFTED,4-RIGHT-ARM-ANGLE,4-RIGHT-ARMPIT-ANGLE,4-SHOULDER-HANGING-BACK,4-SPINE-ANGLE,5-HEAD-LOC,5-HIP-HANGING-BACK,5-HIP-LINE,5-HIP-SHIFTED,5-LEFT-ARM-ANGLE,5-LEFT-LEG-ANGLE,5-RIGHT-ARM-ANGLE,5-SHOULDER-ANGLE,5-SHOULDER-HANGING-BACK,5-SPINE-ANGLE,6-HEAD-LOC,6-HIP-ANGLE,6-HIP-LINE,6-HIP-SHIFTED,6-LEFT-ARM-ANGLE,6-RIGHT-LEG-ANGLE,6-SHOULDER-ANGLE,6-SPINE-ANGLE,6-WEIGHT-SHIFT,7-FINISH-ANGLE,7-HIP-ANGLE,7-HIP-LINE,7-HIP-SHIFTED,7-SHOULDER-ANGLE,7-SPINE-ANGLE,Spine_Instability,X_Factor_Top,Hip_Sway_Range,Hip_Sway_Std,Spine_Angle_Range,Shoulder_Rotation_Range,Head_Movement_Range,Head_Movement_Std,Weight_Shift_Impact,Hip_Hanging_Back_Max,Shoulder_Hanging_Back_Max,Left_Arm_Consistency,Injury_Risk_Score,Injury_Risk_Level
FACEON,I5,170.4,157.9,8.9,1.5,4042.0,176.0,2.493243788,50.8,2.0,157.93800000000002,10.81,65.39599999999999,1.23,0.7,-0.14,0.03,0.0,-0.18,165.93,161.81,27.026,37.69,66.23400000000001,-0.36,8.867999999999999,0.048,0.0,-0.22,165.93,28.22,31.19,0.8,0.03,10.602,0.132,0.0,-0.29,142.978,68.95599999999999,0.5920000000000001,180.0,22.224,63.50600000000001,-0.24,11.744,0.27,0.254,0.0,0.09,65.904,66.42,0.3,68.47,-0.33,0.08,0.182,0.55,143.13,168.60399999999998,171.89,19.76,0.2,68.328,-0.23,22.566,0.244,0.73,125.45,149.32,46.884,68.532,98.64,90.0,5.194,0.41200000000000003,0.72,18.4,79.322,5.045133166395778,22.224,1.02,0.45585085280165927,13.926000000000016,36.074,0.39,0.14190372323045883,98.64,0.27,0.3,19.641629260323597,0.1834268160432542,Low
FACEON,I5,178.6,164.5,-9.1,0.0,3552.0,-373.0,-5.994731135,53.7,3.0,150.552,9.5,62.996,1.25,0.56,-0.64,0.098,4.19,-0.68,168.52,163.74,27.176,41.87,66.46200000000002,-0.78,12.254,0.142,8.59,-0.79,171.89,26.21,54.68,0.84,-0.57,13.164000000000001,0.22799999999999998,0.0,-0.9,137.38600000000002,75.316,0.5660000000000001,155.51,22.008,80.12,0.02,11.886,0.29,0.258,3.88,-0.05,42.727999999999994,80.21,0.29,67.492,0.07,0.1,0.196,0.58,160.05,167.276,71.94,17.79,0.17,69.06400000000001,0.17,13.434000000000001,0.284,0.64,163.74,165.93,46.846000000000004,70.41600000000001,98.36,90.0,3.282,0.59,0.94,13.354,85.28399999999999,7.772048627399765,22.008,1.8399999999999999,0.7658266619741547,22.28799999999999,37.346000000000004,0.9500000000000001,0.4191141451522087,98.36,0.29,0.29,5.213527276869909,0.20412789764529715,Low
FACEON,W1,198.4,173.0,0.0,7.3,1030.0,-1028.0,-44.94431899,59.1,2.0,169.58599999999998,3.11,80.158,1.58,0.68,-0.06,-0.036,4.24,-0.06,171.89,134.43,24.564,45.15,79.44399999999999,-0.29,10.780000000000001,-0.05600000000000001,8.58,-0.17,156.93,25.875999999999998,74.33,0.75,-0.24,6.287999999999999,0.06200000000000001,0.0,-0.15,147.05400000000003,77.554,0.638,180.0,22.002,93.2,-0.37,4.896,0.32,0.37,0.0,-0.01,75.434,87.13,0.55,81.50600000000001,-0.16,0.16,0.45600000000000007,0.4,136.89,166.14000000000001,124.75,23.3,0.35,83.72,-0.35,19.276000000000003,0.394,0.5,180.0,150.46,34.266,81.422,91.37,87.34,6.036,0.7959999999999999,0.63,17.122,80.612,1.482519701948907,22.002,0.8,0.33574366639418457,4.2760000000000105,31.156,0.31,0.11844830095868829,91.37,0.32,0.55,18.94481525378382,0.1092955074002141,Low
FACEON,W1,150.3,145.0,-37.6,-7.3,5107.0,-2119.0,-22.53457378,51.9,4.0,168.89799999999997,7.13,71.646,1.12,0.77,0.2,0.06000000000000001,0.15,-0.56,154.16,74.34,18.668,-66.67,73.736,0.23,5.328,0.098,1.26,-0.75,131.3,21.72,-79.45,0.81,0.32,7.140000000000001,0.134,0.43,-0.69,148.54000000000002,71.184,0.5,180.0,20.878,-100.0,0.55,9.924000000000001,0.33,0.284,0.63,-0.19,101.44000000000001,75.52,0.0,77.67,0.49,1.8,0.26599999999999996,-0.19,168.52,175.564,144.1,0.0,0.0,76.78999999999999,0.95,16.832,0.27999999999999997,-0.31,64.53,168.52,38.803999999999995,76.86800000000001,82.97,84.76,7.080000000000001,0.598,0.784,12.72,84.09599999999998,4.241345211132892,20.448,1.534,0.5190021561566369,12.449999999999974,38.803999999999995,0.75,0.2789743118401167,82.97,1.8,0.0,46.02518106066142,0.23904555357684276,Low
FACEON,W1,176.2,152.5,-37.9,-4.4,695.0,-1173.0,-59.35334895,56.6,5.0,169.58599999999998,20.3,82.874,1.47,0.57,-0.2,0.007999999999999997,19.3,-0.66,151.64,171.89,26.618000000000002,63.27,79.30199999999999,-0.33,7.897999999999999,-0.054000000000000006,14.04,-0.87,148.21,26.43,93.15,0.74,-0.25,7.545999999999999,0.048,5.57,-1.01,150.79399999999998,80.532,0.57,171.89,18.644,92.75,-0.28,5.869999999999999,0.5,0.372,14.04,-0.6,79.676,50.95,0.8,83.76,-0.17,0.25,0.414,0.19,150.46,171.64600000000002,158.43,29.92,0.5,81.34200000000001,-0.09,18.058,0.382,0.42,180.0,161.81,30.974,82.14800000000001,94.71,73.58,10.573999999999998,0.8260000000000002,0.29,20.832,81.648,1.5216135733709382,13.073999999999998,1.43,0.5989435143094325,4.458000000000013,12.330000000000002,0.24000000000000002,0.08532291603080616,94.71,0.5,0.8,15.015894634242297,0.05211340217563697,Low
FACEON,I9,129.9,117.0,2.0,1.0,4220.0,-36.0,-0.488767305,43.5,1.0,152.344,2.86,62.138,1.16,0.62,-0.09,0.076,3.69,-0.12,132.84,171.89,28.601999999999997,7.62,65.88199999999999,-2.94,12.617999999999999,0.10200000000000001,175.43,-3.64,102.12,30.068,78.72,0.48,-0.07,10.644,0.128,0.0,-0.09,146.45600000000002,77.026,0.586,180.0,23.07,22.69,0.06,9.224,0.14,0.22800000000000004,5.15,0.19,69.462,42.27,0.05,68.922,-2.82,0.0,0.178,-3.58,126.16,176.082,165.93,10.71,0.0,71.49600000000001,-2.84,17.981999999999996,0.16,-3.54,171.89,180.0,50.21,69.772,84.14,79.26,4.672,0.548,-3.54,13.778000000000002,82.77000000000001,7.001912386388931,23.07,3.83,1.91019944109559,20.632000000000012,47.35,3.0,1.5532675236416937,84.14,0.14,0.05,28.93995320774839,0.2856599743002218,Low
FACEON,I6,149.6,136.5,-11.0,-1.0,3765.0,-495.0,-7.489952685,47.5,3.0,151.60999999999999,9.54,63.11800000000001,1.17,0.63,-0.37,0.014000000000000004,15.22,-0.56,180.0,158.43,32.392,38.01,67.208,-0.68,12.733999999999998,0.044000000000000004,19.78,-0.7,161.81,31.951999999999998,53.68,0.81,-0.52,11.862,0.11600000000000002,20.78,-0.73,144.532,74.13000000000001,0.568,168.52,22.369999999999997,67.93,-0.31,10.411999999999999,0.38,0.196,24.29,-0.2,42.44,52.41,0.45,70.272,-0.2,0.17,0.084,0.35,155.51,173.26799999999997,168.52,10.74,0.17,66.95800000000001,-0.58,16.720000000000002,0.16,0.74,160.05,160.05,49.745999999999995,69.50399999999999,98.38,86.23,4.023999999999999,0.508,0.73,11.338,82.44,6.6248454371907135,1.5899999999999963,1.47,0.6531899745534547,19.32199999999999,40.205999999999996,0.48000000000000004,0.1805177738248139,98.38,0.38,0.45,10.770476235215106,0.20177395855872327,Low
FACEON,I7,150.1,140.0,-18.5,-2.1,5179.0,-1053.0,-11.49278168,49.9,2.0,156.31199999999998,8.79,57.489999999999995,1.16,0.68,-0.21,0.10600000000000001,14.97,-0.17,163.74,141.26,30.810000000000002,32.17,63.224000000000004,-0.41,15.23,0.156,11.52,-0.26,161.81,31.201999999999998,48.54,0.7,-0.12,13.916,0.17,12.3,-0.35,140.698,70.018,0.6180000000000001,180.0,22.688,86.77,-0.21,12.920000000000002,0.23,0.272,11.55,0.19,44.73,50.21,0.26,67.64200000000001,-0.05,0.13,0.19,0.5,142.19,169.29199999999997,149.32,13.01,0.1,67.424,0.11,18.25,0.20400000000000001,0.89,180.0,168.52,53.452,68.322,0.0,90.0,2.2920000000000003,0.52,1.06,7.609999999999999,87.37,10.069971890063384,10.387999999999998,1.4100000000000001,0.5666526608913419,29.88000000000001,45.842,0.52,0.17509045281415736,0.0,0.23,0.26,15.486369275376763,0.28418723373985594,Low
FACEON,I9,122.1,111.0,-2.0,2.0,4502.0,-672.0,-8.489687127,42.2,1.0,160.916,7.39,64.588,0.87,0.53,-0.23,0.048,4.79,0.02,171.89,161.81,26.968,14.79,68.16599999999998,-0.38,12.404,0.02,5.37,0.06,180.0,26.006,40.22,0.75,-0.56,13.171999999999997,0.1,0.0,-0.06,144.522,83.886,0.636,180.0,19.812,50.0,-0.24,9.105999999999998,0.0,0.25199999999999995,0.0,0.39,78.896,30.68,0.2,72.88199999999999,-0.34,0.0,0.2,0.53,149.32,170.39600000000002,180.0,18.63,0.1,71.612,-0.27,18.244,0.23600000000000004,0.88,180.0,163.74,43.686,74.20200000000001,95.46,87.34,2.146,0.65,0.89,16.003999999999998,85.35799999999999,7.071038471587231,19.812,0.95,0.3995711987332706,20.769999999999996,36.296,0.33000000000000007,0.12404300329590005,95.46,0.0,0.2,14.501361717668681,0.20555704005913963,Low
FACEON,I5,187.3,171.4,-9.5,0.6,2850.0,-426.0,-8.501271234,54.9,3.0,162.702,12.24,69.124,1.3,0.56,-0.16,0.066,11.97,-0.6,171.89,158.43,24.4,44.98,72.92399999999999,-0.18,10.318,0.08800000000000001,16.2,-0.67,171.89,22.674,51.55,0.85,0.19,9.036,0.15,22.44,-0.74,144.698,71.614,0.6379999999999999,161.81,23.887999999999998,66.46,0.38,6.756,0.26,0.23800000000000004,11.97,0.18,42.108000000000004,75.52,0.29,75.20199999999998,0.5,0.07,0.22400000000000003,0.71,160.05,172.594,150.46,18.43,0.14,78.06,0.52,24.494000000000003,0.17,0.92,16.26,171.89,49.034000000000006,74.15599999999999,96.77,87.26,3.386,0.44400000000000006,0.87,8.506,85.102,5.4318785946177695,1.4479999999999968,1.6600000000000001,0.756325704593313,15.978000000000009,40.528000000000006,0.7,0.3157477896465257,96.77,0.26,0.29,76.04676691571662,0.3300888857657107,Medium
