video_id,l_elbow_angle_smooth,l_knee_angle_smooth,r_knee_angle_smooth,arm_score,stability_score,total_quality_score,label
1,42.079881686685,5.994746310488705,6.800403039405577,31.786835482721287,69.04309280867015,46.689338413100835,0
2,8.99626192776895,18.216000313611136,15.76840365782862,4.693120972161941,0.7673765513508513,3.122823203837505,0
3,113.20531217782286,5.991895425518378,4.267208879940613,90.03475763302289,77.21470124710874,84.90673507865723,1
4,93.21613348788208,8.536985096283038,2.4670917976232287,73.66468976643596,74.81426111947026,74.12451830764968,1
5,19.25979410916208,7.786088650184339,8.552580477834248,13.09840469924449,57.62521354653649,30.909128238161294,0
6,3.2655811211527945,7.949573442482937,9.464334744748534,0.0,54.16059347250335,21.664237389001343,0
7,111.77927327895524,3.043118736084483,3.018046954288904,88.86690807217008,90.7412396208462,89.61664069164053,1
8,99.14673353217958,3.3607425324213396,5.010765677563714,78.52153389798548,83.29688666253901,80.43167500380689,1
9,33.65673174635406,7.253298470370148,5.7059797788378,24.888726345148527,68.51423899293604,42.33893140426353,0
10,48.76314882720946,7.585475704866009,8.506024615971482,37.26007369615385,58.42163737777392,45.72469916880188,0
11,5.430668903830332,12.864075432986107,11.982204514970238,1.773091055381151,30.212110407970115,13.148698796416737,0
12,102.85854769305853,3.0293416466645864,4.438107582509239,81.56131110265494,86.2099327114069,83.42075974615572,1
13,119.62030611619358,5.600633279542941,5.766486219951247,95.28829444730526,73.64447037547518,86.63076481857323,1
14,79.71560467726633,6.556031442648682,5.941324180599393,62.60847898896119,70.0026395386921,65.56614320885356,1
15,19.083295129514063,11.32913744792698,7.887119719803707,12.953861478132792,48.35309010406924,27.11355292850737,0
16,14.43335968746482,10.580327134081525,8.263203020861294,9.145813136461808,49.55408580783821,25.30912220501237,0
17,4.646554278764284,9.709888093314724,6.504924465850983,1.1309431299151544,58.02430242921033,23.88828684963323,0
18,47.33584609906427,8.191085645283328,26.031472358490483,36.09118912674133,0.0,21.654713476044794,0
19,40.0603850439397,6.145240350226923,15.323188564191122,30.132975781385902,41.096174186733315,34.51825514352487,0
20,24.03518778021931,6.3465239735001715,22.109813456626156,17.00919661808486,18.579834297859698,17.637451689994798,0
21,6.203715453293772,12.211255807522639,9.15196812404283,2.4061748191035544,41.4351641930545,18.017770568683932,0
22,7.4527404212196355,12.660043259483903,9.750508494163045,3.4290594412865243,38.06047931215632,17.281627389634444,0
23,48.39856097960352,7.879471307529062,25.9964117799503,36.96149575549812,1.117051007277159,22.623717856209733,0
24,52.091144273220245,7.229854205304714,26.80087734931972,39.98552390878839,0.6181004686901526,24.23855453274909,0
25,9.037787932533975,3.8230285986012076,3.7306920880071623,4.727128548299811,85.93195004263869,37.20905714603536,0
26,18.073697688952084,3.7598418658665946,4.343687863431035,12.127055190776469,84.16036312913818,40.94037836612115,0
27,33.12316802563457,6.6781430492336735,4.84583068285566,24.451766205124255,73.1390568878513,43.92668247821507,0
28,98.48710292780764,2.9763733675948694,3.1974403996195684,77.98133172520284,90.37826658245004,82.94010566810172,1
29,120.93787474741572,2.509447420077813,2.137897044452989,96.36731266243815,95.29683435875884,95.93912134096644,1
30,114.11014962752196,11.320692594445402,4.051365293797098,90.77577109283341,60.739814598665156,78.7613884951661,1
31,31.35304195242265,2.584521504683237,3.6302709814161083,23.00212765817003,90.24622553461018,49.899766808746094,0
32,23.41216049801597,3.71264589251567,2.858899575469961,16.498970607771778,89.09670112706195,45.53806281548785,0
33,107.33504666988104,1.7031150820187833,1.5225282286767186,85.22732425867164,99.8778196890905,91.08752243083919,1
34,114.63785713647808,1.6980135252566784,1.48971132980749,91.2079353087482,100.0,94.72476118524892,1
35,21.8389307823286,4.4614788349305154,3.094144050519947,15.210579643089783,85.92582080445985,43.49667610763781,0
36,26.50984296771197,3.7653988787947323,3.6767846025230018,19.0358068152333,86.29134364645212,45.93802154772083,0
37,24.723712368896663,3.9767927909693674,2.698705122339114,17.57306141809959,88.76174702943642,46.04853566263432,0
38,53.21103714979794,5.092352631678899,9.286739568914141,40.902656257107914,63.9393345796216,50.11732758611339,0
39,113.89321452823606,2.8383182891350356,2.947491797475287,90.59811285319087,91.628486548979,91.01026233150611,1
40,125.37368020082027,3.884408612683031,2.1965447198553205,100.0,90.67748016040332,96.27099206416133,1
41,9.535792659021928,11.825424673483266,11.383216909003883,5.134967774560337,35.48888556452445,17.27653489054598,0
42,13.81008993537948,11.670992967546086,17.080329287789727,8.635388556288218,17.62933837028049,12.232968481885127,0
43,7.554816459346291,13.160483198244805,7.466484215191896,3.51265425514081,43.80751952230935,19.630600362008227,0
44,34.44711562509836,4.311422951929665,11.230769854940565,25.536008453953308,60.19160827252673,39.39824838138267,0
45,115.34071723804637,4.486550360176711,13.611768549020343,91.78354012682807,51.95529493364512,75.85224204955489,1
46,46.75332880008854,4.411108990144972,13.489165903873323,35.61413862528714,52.593429555570715,42.40585499740057,0
47,20.22811960486533,10.34617008657325,6.917580076739648,13.89141147193324,54.644430531330315,30.19261909569207,0
48,49.438351142902754,11.911359547578865,10.133150168904626,37.813028267375834,39.23993478211001,38.383790873269504,0
49,61.54911384386694,6.32434000774309,15.400373924519645,47.731094957663686,40.27037623055727,44.74680746682112,0
50,24.251308625156533,5.796729717786912,10.231212184964066,17.186188026980858,58.626434412711916,33.76228658127329,0
